Fid,lat,lng,road_desc,zip,timeStamp,twp,addr,outcome_of_incident,traffic_status,traffic_occured_by,area_accident_occured,Label
222.73.28.96-10.42.0.211-80-34340-6,40.2429463,-75.3310976,VILLAGE WAY & SPECHT PL;  TOWAMENCIN; Station 345B; 2022-12-12 @ 16:29:47;,19446,12-12-22 16:29,TOWAMENCIN,VILLAGE WAY & SPECHT PL,Greviously Injured,Medium,Vehicle with vehicle collision,Residential areas,2
172.217.12.202-10.42.0.211-443-56089-6,40.2449124,-75.6443631,HIGH ST & S FRANKLIN ST;  POTTSTOWN; Station 329; 2022-12-12 @ 16:29:14;,19464,12-12-22 16:29,POTTSTOWN,HIGH ST & S FRANKLIN ST,Minor Injury,High,Vehicle with vehicle collision,Residential areas,0
10.42.0.211-50.18.248.150-44570-443-6,40.1810725,-75.1416673,AVENUE A  & SILL AVE;  HORSHAM; Station 352; 2022-12-12 @ 16:28:34;,19044,12-12-22 16:28,HORSHAM,AVENUE A  & SILL AVE,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
222.73.28.96-10.42.0.211-80-40297-6,40.1433809,-75.1205624,MORELAND RD & CENTER AVE;  ABINGTON; Station 381; 2022-12-12 @ 16:27:57;,19090,12-12-22 16:27,ABINGTON,MORELAND RD & CENTER AVE,Minor Injury,Medium,Vehicle with vehicle collision,Residential areas,0
10.42.0.211-10.42.0.1-27846-53-17,40.1652568,-75.1106869,S YORK RD & ARMOUR RD; UPPER MORELAND; 2022-12-12 @ 16:27:07;,19040,12-12-22 16:27,UPPER MORELAND,S YORK RD & ARMOUR RD,Greviously Injured,High,Vehicle with vehicle collision,Other,2
208.80.154.224-10.42.0.211-443-52108-6,40.2552311,-75.664306,RT100 NB & SHOEMAKER RD; POTTSTOWN; 2022-12-12 @ 16:35:18;,19464,12-12-22 16:35,POTTSTOWN,RT100 NB & SHOEMAKER RD,Minor Injury,High,Vehicle with vehicle collision,Other,0
172.217.7.131-10.42.0.211-443-58307-6,40.0249667,-75.2829046,RT3 /HIGH  ; LOWER MERION; 2022-12-12 @ 16:40:33;,,12-12-22 16:40,LOWER MERION,RT3 /HIGH,Death,Medium,Vehicle with vehicle collision,  Recreational areas,1
10.42.0.211-10.42.0.1-46499-53-17,40.0249667,-75.2829046,RT3 /HIGH  ; LOWER MERION; 2022-12-12 @ 16:45:32;,,12-12-22 16:45,LOWER MERION,RT3 /HIGH,Minor Injury,High,Vehicle with vehicle collision, Church areas,0
10.42.0.211-31.13.69.203-33971-443-6,40.1082672,-75.3062326,RIDGE PIKE OVERPASS;  PLYMOUTH; Station 308; 2022-12-12 @ 16:41:56;,,12-12-22 16:41,PLYMOUTH,RIDGE PIKE OVERPASS,Death,Medium,Unknown,School areas,1
10.42.0.211-106.39.169.66-55302-80-6,40.1573103,-75.4041064,RIDGE PIKE & E MT KIRK AVE; LOWER PROVIDENCE; 2022-12-12 @ 16:42:14;,19403,12-12-22 16:42,LOWER PROVIDENCE,RIDGE PIKE & E MT KIRK AVE,Greviously Injured,Medium,Vehicle with vehicle collision,Office areas,2
10.42.0.211-104.254.66.16-49826-80-6,40.1532684,-75.1895576,RT309 EXPY NB & HIGHLAND AVE UNDERPASS; UPPER DUBLIN; 2022-12-12 @ 16:40:33;,,12-12-22 16:40,UPPER DUBLIN,RT309 EXPY NB & HIGHLAND AVE UNDERPASS,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.211-121.12.98.62-45467-80-6,40.1532684,-75.1895576,RT309 EXPY NB & HIGHLAND AVE UNDERPASS; UPPER DUBLIN; 2022-12-12 @ 16:45:32;,,12-12-22 16:45,UPPER DUBLIN,RT309 EXPY NB & HIGHLAND AVE UNDERPASS,Minor Injury,High,Vehicle with vehicle collision,Residential areas,0
202.77.129.150-10.42.0.211-80-42541-6,40.0996762,-75.2966532,RIDGE PIKE OVERPASS & CROSS COUNTY TRL; PLYMOUTH; 2022-12-12 @ 16:41:59;,,12-12-22 16:41,PLYMOUTH,RIDGE PIKE OVERPASS & CROSS COUNTY TRL,Greviously Injured,Medium,Vehicle with vehicle collision,Other,2
10.42.0.211-23.66.169.49-38100-80-6,40.155827,-75.3652085,GERMANTOWN PIKE & BRIDLE PATH RD;  EAST NORRITON; Station 308B; 2022-12-12 @ 16:46:33;,19403,12-12-22 16:46,EAST NORRITON,GERMANTOWN PIKE & BRIDLE PATH RD,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.211-114.134.80.163-42432-443-6,40.0097065,-75.290401,MILL CREEK RD & W MONTGOMERY AVE;  LOWER MERION; Station 313; 2022-12-12 @ 16:46:03;,19003,12-12-22 16:46,LOWER MERION,MILL CREEK RD & W MONTGOMERY AVE,Death,High,Vehicle with vehicle collision,Office areas,1
10.42.0.151-10.42.0.1-16536-53-17,40.1286835,-75.1110735,OLD WELSH RD;  ABINGTON; Station 381; 2022-12-12 @ 16:55:01;,,12-12-22 16:55,ABINGTON,OLD WELSH RD,Minor Injury,Medium,Vehicle with vehicle collision,Residential areas,0
10.42.0.211-10.42.0.1-14106-53-17,40.3240582,-75.3264568,MAIN ST & W HAMLIN AVE;  TELFORD; Station 339; 2022-12-12 @ 16:53:40;,18969,12-12-22 16:53,TELFORD,MAIN ST & W HAMLIN AVE,Death,High,Collision with roadside objects,Other,1
10.42.0.211-69.147.82.60-42840-443-6,40.1382269,-75.1241441,OLD WELSH RD & HIGH AVE; ABINGTON; 2022-12-12 @ 16:52:59;,19090,12-12-22 16:52,ABINGTON,OLD WELSH RD & HIGH AVE,Greviously Injured,Medium,Vehicle with vehicle collision,Residential areas,2
10.42.0.151-104.193.88.109-40161-80-6,40.2560875,-75.6338484,WILSON ST & N WASHINGTON ST;  POTTSTOWN; Station 329; 2022-12-12 @ 17:00:57;,19464,12-12-22 17:00,POTTSTOWN,WILSON ST & N WASHINGTON ST,Minor Injury,Medium,Collision with pedestrians, Church areas,0
10.42.0.211-10.42.0.1-35779-53-17,40.3729226,-75.4858008,STONEHAVEN DR & WEXFORD DR;  RED HILL; Station 369; 2022-12-12 @ 17:05:51;,18076,12-12-22 17:05,RED HILL,STONEHAVEN DR & WEXFORD DR,Greviously Injured,High,Unknown,Residential areas,2
10.42.0.211-31.13.65.7-47421-443-6,40.1109103,-75.1360871,ABINGTON AVE & CHARLES ST;  ABINGTON; Station 383; 2022-12-12 @ 17:04:52;,19038,12-12-22 17:04,ABINGTON,ABINGTON AVE & CHARLES ST,Minor Injury,High,Collision with roadside objects,Office areas,0
198.11.132.53-10.42.0.211-443-57572-6,40.087299,-75.1515318,W CHURCH RD & GREENWOOD AVE; CHELTENHAM; 2022-12-12 @ 17:05:00;,19095,12-12-22 17:05,CHELTENHAM,W CHURCH RD & GREENWOOD AVE,Greviously Injured,Medium,Vehicle with vehicle collision,Residential areas,2
10.42.0.211-98.138.252.30-54419-443-6,40.0698321,-75.3162951,SCHUYLKILL EXPY & MATSONFORD RD EXIT UNDERPASS; WEST CONSHOHOCKEN; 2022-12-12 @ 17:11:59;,,12-12-22 17:11,WEST CONSHOHOCKEN,SCHUYLKILL EXPY & MATSONFORD RD EXIT UNDERPASS,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.42-64.71.142.96-43862-80-6,40.3109434,-75.3183552,BROAD ST & N 3RD ST; SOUDERTON; 2022-12-12 @ 17:13:22;,18964,12-12-22 17:13,SOUDERTON,BROAD ST & N 3RD ST,Death,High,Vehicle with vehicle collision, Industrial areas,1
10.42.0.211-103.7.30.118-39222-80-6,40.2375841,-75.2524645,SASSAFRAS DR & HAWTHORNE DR;  MONTGOMERY; Station 345A; 2022-12-12 @ 17:18:23;,19454,12-12-22 17:18,MONTGOMERY,SASSAFRAS DR & HAWTHORNE DR,Minor Injury,Medium,Vehicle with vehicle collision, Church areas,0
10.42.0.211-10.42.0.1-61415-53-17,40.1476497,-75.1986317,KENYON DR & WALLACE DR; UPPER DUBLIN; 2022-12-12 @ 17:16:56-Station:STA88;,19034,12-12-22 17:16,UPPER DUBLIN,KENYON DR & WALLACE DR,Death,High,Vehicle with vehicle collision,Residential areas,1
175.100.207.231-10.42.0.151-80-43403-6,40.2290075,-75.3878525,S HANOVER ST & E HOFFECKER RD; CHESTER COUNTY; 2022-12-12 @ 17:21:26;,,12-12-22 17:21,CHESTER COUNTY,S HANOVER ST & E HOFFECKER RD,Greviously Injured,High,Rollover,Residential areas,2
10.42.0.211-104.193.88.109-42050-80-6,40.2290075,-75.3878525,HANOVER ST & TEMPLE RD; CHESTER COUNTY; 2022-12-12 @ 17:21:26;,,12-12-22 17:21,CHESTER COUNTY,HANOVER ST & TEMPLE RD,Minor Injury,Medium,Collision with roadside objects,Residential areas,0
10.42.0.151-52.94.232.32-35215-443-6,40.2903299,-75.3675755,MAPLEWOOD DR & SCHOOLHOUSE RD;  FRANCONIA; Station 344; 2022-12-12 @ 17:31:10;,19438,12-12-22 17:31,FRANCONIA,MAPLEWOOD DR & SCHOOLHOUSE RD,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
172.217.10.238-10.42.0.151-443-57057-6,40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2022-12-12 @ 17:34:01;,19150,12-12-22 17:34,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,Death,Medium,Collision with roadside objects, Outside rural areas,1
10.42.0.151-10.42.0.1-11302-53-17,40.2582531,-75.2482301,BETHLEHEM PIKE & TAYLOR RD;  MONTGOMERY; Station 345; 2022-12-12 @ 17:37:18;,19446,12-12-22 17:37,MONTGOMERY,BETHLEHEM PIKE & TAYLOR RD,Greviously Injured,Medium,Vehicle with vehicle collision, Church areas,2
169.45.248.117-10.42.0.211-443-34287-6,40.0888305,-75.1404874,WEBSTER AVE & MAPLE AVE; CHELTENHAM; 2022-12-12 @ 17:38:37;,19095,12-12-22 17:38,CHELTENHAM,WEBSTER AVE & MAPLE AVE,Death,High,Vehicle with vehicle collision,Office areas,1
183.79.250.123-10.42.0.211-443-33944-6,40.1414828,-75.117142,MORELAND RD & EASTON RD; ABINGTON; 2022-12-12 @ 17:37:13;,19090,12-12-22 17:37,ABINGTON,MORELAND RD & EASTON RD,Minor Injury,High,Vehicle with vehicle collision, Church areas,0
222.73.28.96-10.42.0.211-80-58698-6,40.2439015,-75.3129275,WEIKEL RD & ORCHARD LN;  TOWAMENCIN; Station 345B; 2022-12-12 @ 17:46:12;,19446,12-12-22 17:46,TOWAMENCIN,WEIKEL RD & ORCHARD LN,Minor Injury,Medium,Vehicle with vehicle collision,Office areas,0
180.149.134.221-10.42.0.211-80-34151-6,40.1842742,-75.2276629,BETHLEHEM PIKE & PENLLYN PIKE; LOWER GWYNEDD; 2022-12-12 @ 17:46:27;,19002,12-12-22 17:46,LOWER GWYNEDD,BETHLEHEM PIKE & PENLLYN PIKE,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
198.11.132.221-10.42.0.211-443-39993-6,40.2794736,-75.3877094,MAIN ST & MAPLE AVE; LOWER SALFORD; 2022-12-12 @ 17:52:24-Station:STA89;,19438,12-12-22 17:52,LOWER SALFORD,MAIN ST & MAPLE AVE,Minor Injury,High,Collision with roadside objects,School areas,0
173.241.242.143-10.42.0.151-443-36230-6,40.254768,-75.6604586,SHOEMAKER RD & ROBINSON ST;  POTTSTOWN; Station 329; 2022-12-12 @ 17:55:37;,19464,12-12-22 17:55,POTTSTOWN,SHOEMAKER RD & ROBINSON ST,Death,Medium,Vehicle with vehicle collision,Residential areas,1
10.42.0.42-106.39.169.66-50147-80-6,40.0829221,-75.200536,MONTGOMERY AVE & E EVERGREEN AVE; SPRINGFIELD; 2022-12-12 @ 17:56:54-Station:STA82;,19038,12-12-22 17:56,SPRINGFIELD,MONTGOMERY AVE & E EVERGREEN AVE,Minor Injury,High,Collision with roadside objects,Office areas,0
10.42.0.211-31.13.80.8-50736-443-6,40.243136,-75.619533,HIGH ST & ROSEDALE DR; POTTSTOWN; 2022-12-12 @ 17:56:13-Station:STA69;,19464,12-12-22 17:56,POTTSTOWN,HIGH ST & ROSEDALE DR,Death,Medium,Vehicle with vehicle collision,Rural village areasOffice areas,1
10.42.0.211-10.42.0.1-9384-53-17,40.243136,-75.619533,HIGH ST & ROSEDALE DR; POTTSTOWN; 2022-12-12 @ 17:56:09;,19464,12-12-22 17:56,POTTSTOWN,HIGH ST & ROSEDALE DR,Greviously Injured,Medium,Vehicle with vehicle collision,Other,2
10.42.0.151-123.125.29.220-49023-80-6,40.107785,-75.3455939,DEKALB ST & W 2ND ST; BRIDGEPORT; 2022-12-12 @ 18:15:34-Station:STA31;,19405,12-12-22 18:15,BRIDGEPORT,DEKALB ST & W 2ND ST,Minor Injury,High,Vehicle with vehicle collision,Residential areas,0
172.217.12.138-10.42.0.151-443-47687-6,40.2541236,-75.304802,WELSH RD & ORVILLA RD; HATFIELD TOWNSHIP; 2022-12-12 @ 18:11:52;,19440,12-12-22 18:11,HATFIELD TOWNSHIP,WELSH RD & ORVILLA RD,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
10.42.0.211-104.192.110.245-44956-443-6,40.1405049,-75.3108737,GERMANTOWN PIKE & HANNAH AVE;  EAST NORRITON; Station 308; 2022-12-12 @ 18:20:07;,19401,12-12-22 18:20,EAST NORRITON,GERMANTOWN PIKE & HANNAH AVE,Minor Injury,Medium,Vehicle with vehicle collision,Office areas,0
172.217.2.106-10.42.0.211-443-59370-6,40.1417319,-75.3126075,GERMANTOWN PIKE & DEKALB PIKE;  EAST NORRITON; Station 308; 2022-12-12 @ 18:18:49;,19401,12-12-22 18:18,EAST NORRITON,GERMANTOWN PIKE & DEKALB PIKE,Greviously Injured,High,Vehicle with vehicle collision,Residential areas,2
10.42.0.211-10.42.0.1-25756-53-17,40.1215412,-75.3475786,CHAIN ST & W OAK ST;  NORRISTOWN; Station 308A; 2022-12-12 @ 18:16:32;,19401,12-12-22 18:16,NORRISTOWN,CHAIN ST & W OAK ST,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
172.217.12.193-10.42.0.42-443-50794-6,40.1147142,-75.3399519,AIRY ST & HIGH ALY;  NORRISTOWN; Station 308A; 2022-12-12 @ 18:25:36;,19401,12-12-22 18:25,NORRISTOWN,AIRY ST & HIGH ALY,Death,Medium,Vehicle with vehicle collision,Office areas,1
180.149.134.221-10.42.0.42-80-59910-6,40.088958,-75.408347,GODDARD BLVD & N GULPH RD;  UPPER MERION; Station 317; 2022-12-12 @ 18:23:09;,19406,12-12-22 18:23,UPPER MERION,GODDARD BLVD & N GULPH RD,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
183.79.250.251-10.42.0.211-443-54402-6,40.1274502,-75.3618445,MARSHALL ST & N MONTGOMERY AVE;  WEST NORRITON; Station 308B; 2022-12-12 @ 18:26:20;,19403,12-12-22 18:26,WEST NORRITON,MARSHALL ST & N MONTGOMERY AVE,Death,High,Vehicle with vehicle collision,Office areas,1
182.254.5.234-10.42.0.211-80-59013-6,40.0711763,-75.1530171,CHELTENHAM AVE;  CHELTENHAM; Station 358A; 2022-12-12 @ 18:28:46;,,12-12-22 18:28,CHELTENHAM,CHELTENHAM AVE,Greviously Injured,Medium,Vehicle with vehicle collision,Other,2
10.42.0.211-106.39.169.66-42612-80-6,40.1371103,-75.3728811,LIBERTY AVE & NEW ST;  WEST NORRITON; Station 308B; 2022-12-12 @ 18:26:20;,19403,12-12-22 18:26,WEST NORRITON,LIBERTY AVE & NEW ST,Minor Injury,High,Rollover,Other,0
182.254.5.234-10.42.0.211-80-43030-6,40.1118752,-75.2850076,GERMANTOWN PIKE & PLYMOUTH RD;  PLYMOUTH; Station 308; 2022-12-12 @ 18:40:18;,19462,12-12-22 18:40,PLYMOUTH,GERMANTOWN PIKE & PLYMOUTH RD,Minor Injury,Medium,Collision with roadside objects,Other,0
198.11.132.221-10.42.0.211-443-56649-6,40.2541236,-75.304802,WELSH RD & ORVILLA RD; HATFIELD TOWNSHIP; 2022-12-12 @ 18:38:04;,19440,12-12-22 18:38,HATFIELD TOWNSHIP,WELSH RD & ORVILLA RD,Death,Medium,Vehicle with vehicle collision,Residential areas,1
10.42.0.211-10.42.0.1-35104-53-17,40.2470752,-75.2838574,5TH ST & MAPLE AVE;  LANSDALE; Station 345; 2022-12-12 @ 18:38:56;,19446,12-12-22 18:38,LANSDALE,5TH ST & MAPLE AVE,Greviously Injured,High,Vehicle with vehicle collision,School areas,2
203.205.160.19-10.42.0.42-80-54962-6,40.1649626,-75.4777179,TOWN CENTER DR & FRONT ST; UPPER PROVIDENCE; 2022-12-12 @ 18:43:21;,19426,12-12-22 18:43,UPPER PROVIDENCE,TOWN CENTER DR & FRONT ST,Death,High,Collision with roadside objects,Residential areas,1
172.217.10.131-10.42.0.151-443-42671-6,40.1566361,-75.2139438,BETHLEHEM PIKE & ARDROSS AVE;  AMBLER; Station 351; 2022-12-12 @ 18:49:05;,19002,12-12-22 18:49,AMBLER,BETHLEHEM PIKE & ARDROSS AVE,Minor Injury,Medium,Vehicle with vehicle collision,Office areas,0
172.217.3.97-10.42.0.42-443-50689-6,40.1350483,-75.1491608,FITZWATERTOWN RD;  ABINGTON; Station 381; 2022-12-12 @ 18:47:43;,,12-12-22 18:47,ABINGTON,FITZWATERTOWN RD,Minor Injury,High,Vehicle with vehicle collision, Church areas,0
10.42.0.211-77.234.42.92-34365-443-6,40.1566361,-75.2139438,BETHLEHEM PIKE & ARDROSS AVE; AMBLER; 2022-12-12 @ 18:49:29;,19002,12-12-22 18:49,AMBLER,BETHLEHEM PIKE & ARDROSS AVE,Greviously Injured,High,Vehicle with vehicle collision,Other,2
172.217.10.110-10.42.0.151-443-58144-6,40.1398851,-75.1429097,FITZWATERTOWN RD & THUNDERHEAD RD; ABINGTON; 2022-12-12 @ 18:49:06;,19090,12-12-22 18:49,ABINGTON,FITZWATERTOWN RD & THUNDERHEAD RD,Minor Injury,Medium,Rollover,Other,0
10.42.0.151-63.250.200.101-43727-443-6,40.1554538,-75.2139267,S BETHLEHEM PIKE & LINDENWOLD AVE; AMBLER; 2022-12-12 @ 18:50:19;,19002,12-12-22 18:50,AMBLER,S BETHLEHEM PIKE & LINDENWOLD AVE,Death,High,Rollover,Other,1
10.42.0.211-31.13.65.7-42576-443-6,40.1566361,-75.2139438,BETHLEHEM PIKE & ARDROSS AVE; AMBLER; 2022-12-12 @ 18:53:22-Station:STA7;,19002,12-12-22 18:53,AMBLER,BETHLEHEM PIKE & ARDROSS AVE,Minor Injury,Medium,Collision with pedestrians,Other,0
10.42.0.42-64.71.142.124-51710-443-6,40.3121807,-75.5742598,MILES RD & N CHARLOTTE ST; NEW HANOVER; 2022-12-12 @ 18:52:00;,19525,12-12-22 18:52,NEW HANOVER,MILES RD & N CHARLOTTE ST,Death,Medium,Vehicle with vehicle collision,Office areas,1
10.42.0.211-106.39.162.36-53898-80-6,40.2432456,-75.6474237,SOUTH ST & PLUM ST;  POTTSTOWN; Station 329; 2022-12-12 @ 18:55:39;,19464,12-12-22 18:55,POTTSTOWN,SOUTH ST & PLUM ST,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
172.217.10.34-10.42.0.211-443-57976-6,40.1198332,-75.1253492,JENKINTOWN RD & RR CROSSING; ABINGTON; 2022-12-12 @ 18:55:34;,,12-12-22 18:55,ABINGTON,JENKINTOWN RD & RR CROSSING,Minor Injury,High,Vehicle with vehicle collision,Residential areas,0
10.42.0.151-10.42.0.1-39211-53-17,40.1522357,-75.3486116,W GERMANTOWN PIKE & WHITEHALL RD; EAST NORRITON; 2022-12-12 @ 18:56:41;,19403,12-12-22 18:56,EAST NORRITON,W GERMANTOWN PIKE & WHITEHALL RD,Greviously Injured,Medium,Collision with pedestrians,Office areas,2
10.42.0.211-120.55.89.238-43305-8977-6,40.2518845,-75.6528626,3RD ST & JOHNSON ST;  POTTSTOWN; Station 329; 2022-12-12 @ 19:04:37;,19464,12-12-22 19:04,POTTSTOWN,3RD ST & JOHNSON ST,Minor Injury,High,Collision with pedestrians,Residential areas,0
216.58.212.227-10.42.0.151-443-38690-6,40.1508958,-75.1274376,FITZWATERTOWN RD & BARTRAM RD;  UPPER MORELAND; Station 381; 2022-12-12 @ 19:05:12;,19090,12-12-22 19:05,UPPER MORELAND,FITZWATERTOWN RD & BARTRAM RD,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
216.58.219.195-10.42.0.42-443-59182-6,40.2309343,-75.5221245,LIGHTCAP RD & SANATOGA SPRINGS DR;  LIMERICK; Station 324A; 2022-12-12 @ 19:05:58;,19468,12-12-22 19:05,LIMERICK,LIGHTCAP RD & SANATOGA SPRINGS DR,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
172.217.12.206-10.42.0.211-443-58346-6,40.1414828,-75.117142,MORELAND RD & EASTON RD;  ABINGTON; Station 381; 2022-12-12 @ 19:08:34;,19090,12-12-22 19:08,ABINGTON,MORELAND RD & EASTON RD,Death,High,Vehicle with vehicle collision,Office areas,1
151.101.21.63-10.42.0.211-443-52369-6,40.1077086,-75.2136339,E MILL RD & BETHLEHEM PIKE; SPRINGFIELD; 2022-12-12 @ 19:09:10;,19031,12-12-22 19:09,SPRINGFIELD,E MILL RD & BETHLEHEM PIKE,Minor Injury,High,Collision with roadside objects,School areas,0
172.217.11.46-10.42.0.151-443-36230-6,40.0972222,-75.3761952,GULPH RD & WEADLEYTOWN RD; UPPER MERION; 2022-12-12 @ 19:12:49;,,12-12-22 19:12,UPPER MERION,GULPH RD & WEADLEYTOWN RD,Death,Medium,Vehicle with vehicle collision,Residential areas,1
172.217.10.110-10.42.0.151-443-37210-6,40.128482,-75.346848,STANBRIDGE ST & STERIGERE ST; NORRISTOWN; 2022-12-12 @ 19:12:54;,19401,12-12-22 19:12,NORRISTOWN,STANBRIDGE ST & STERIGERE ST,Greviously Injured,High,Collision with roadside objects,Office areas,2
10.42.0.211-63.250.200.101-40039-443-6,40.1399119,-75.2528567,SPRINGHOUSE LN & FARM DR;  WHITPAIN; Station 385; 2022-12-12 @ 19:17:18;,19422,12-12-22 19:17,WHITPAIN,SPRINGHOUSE LN & FARM DR,Minor Injury,Medium,Vehicle with vehicle collision,Residential areas,0
172.217.3.110-10.42.0.42-443-42980-6,40.1540846,-75.2230002,SPRING GARDEN ST & E BUTLER AVE; AMBLER; 2022-12-12 @ 19:18:00-Station:STA7;,19002,12-12-22 19:18,AMBLER,SPRING GARDEN ST & E BUTLER AVE,Minor Injury,Medium,Vehicle with vehicle collision,Office areas,0
10.42.0.1-10.42.0.42-53-8371-17,40.0986619,-75.3527765,DEKALB PIKE & W BORO LINE RD; UPPER MERION; 2022-12-12 @ 19:20:35;,19406,12-12-22 19:20,UPPER MERION,DEKALB PIKE & W BORO LINE RD,Death,High,Collision with roadside objects,Residential areas,1
172.217.10.106-10.42.0.211-443-34983-6,40.1058286,-75.3467566,DEKALB ST & W 4TH ST; BRIDGEPORT; 2022-12-12 @ 19:17:01;,19405,12-12-22 19:17,BRIDGEPORT,DEKALB ST & W 4TH ST,Greviously Injured,High,Vehicle with vehicle collision,Other,2
172.217.10.106-10.42.0.42-443-58783-6,40.2394356,-75.2362381,COUNTRY CLUB DR & DOYLESTOWN PIKE; MONTGOMERY; 2022-12-12 @ 19:21:06-Station:STA18;,,12-12-22 19:21,MONTGOMERY,COUNTRY CLUB DR & DOYLESTOWN PIKE,Death,Medium,Vehicle with vehicle collision,Other,1
172.217.12.202-10.42.0.42-443-36830-6,40.1723141,-75.4927278,RT422  & TROUTMAN RD UNDERPASS; UPPER PROVIDENCE; 2022-12-12 @ 19:25:05;,,12-12-22 19:25,UPPER PROVIDENCE,RT422  & TROUTMAN RD UNDERPASS,Minor Injury,High,Collision with roadside objects,Office areas,0
10.42.0.211-52.84.6.147-36364-443-6,40.2403363,-75.2848915,VINE ST & S BROAD ST;  LANSDALE; Station 345B; 2022-12-12 @ 19:23:33;,19446,12-12-22 19:23,LANSDALE,VINE ST & S BROAD ST,Greviously Injured,Medium,Collision with roadside objects,Office areas,2
174.35.73.71-10.42.0.42-80-39503-6,40.1667698,-75.2250767,NORTH WALES RD;  MONTGOMERY; Station 345A; 2022-12-12 @ 19:24:34;,19002,12-12-22 19:24,MONTGOMERY,NORTH WALES RD,Minor Injury,Medium,Vehicle with vehicle collision,Residential areas,0
10.42.0.211-52.86.66.242-33819-443-6,40.2273784,-75.2639752,NORTH WALES RD & WEBERS RD; UPPER GWYNEDD; 2022-12-12 @ 19:24:53;,19454,12-12-22 19:24,UPPER GWYNEDD,NORTH WALES RD & WEBERS RD,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.211-10.42.0.1-7017-53-17,40.2288994,-75.2624611,NORTH WALES RD & WELSH RD; MONTGOMERY; 2022-12-12 @ 19:25:02;,19454,12-12-22 19:25,MONTGOMERY,NORTH WALES RD & WELSH RD,Death,High,Vehicle with vehicle collision,Other,1
10.42.0.1-10.42.0.42-53-31826-17,40.2288994,-75.2624611,NORTH WALES RD & WELSH RD; MONTGOMERY; 2022-12-12 @ 19:28:55;,19454,12-12-22 19:28,MONTGOMERY,NORTH WALES RD & WELSH RD,Greviously Injured,Medium,Vehicle with vehicle collision,Office areas,2
10.42.0.42-14.29.93.254-43617-80-6,40.2274183,-75.282769,STATION SQUARE BLVD & PENNBROOK PKWY; UPPER GWYNEDD; 2022-12-12 @ 19:29:21-Station:STA80;,19446,12-12-22 19:29,UPPER GWYNEDD,STATION SQUARE BLVD & PENNBROOK PKWY,Death,High,Vehicle with vehicle collision,Office areas,1
10.42.0.1-10.42.0.42-53-12679-17,40.078001,-75.193581,WILLOW GROVE AVE & PINE RD; SPRINGFIELD; 2022-12-12 @ 19:28:27-Station:STA82;,19038,12-12-22 19:28,SPRINGFIELD,WILLOW GROVE AVE & PINE RD,Minor Injury,High,Vehicle with vehicle collision, Church areas,0
10.42.0.211-10.42.0.1-3886-53-17,40.0534737,-75.3069767,SPRING MILL RD; LOWER MERION; 2022-12-12 @ 19:26:22-Station:STA23;,,12-12-22 19:26,LOWER MERION,SPRING MILL RD,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
10.42.0.211-10.42.0.1-1366-53-17,40.0469639,-75.3205613,SPRING MILL RD & FARVIEW RD; LOWER MERION; 2022-12-12 @ 19:26:38;,19085,12-12-22 19:26,LOWER MERION,SPRING MILL RD & FARVIEW RD,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
203.130.53.126-10.42.0.151-80-53625-6,40.0249667,-75.2829046,SCHUYLKILL EXPY & WAVERLY RD UNDERPASS; LOWER MERION; 2022-12-12 @ 19:31:05;,,12-12-22 19:31,LOWER MERION,SCHUYLKILL EXPY & WAVERLY RD UNDERPASS,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
10.42.0.211-104.193.88.109-33822-80-6,40.2471266,-75.6377693,WALNUT ST & N ADAMS ST;  POTTSTOWN; Station 329; 2022-12-12 @ 19:33:29;,19464,12-12-22 19:33,POTTSTOWN,WALNUT ST & N ADAMS ST,Death,Medium,Vehicle with vehicle collision,Residential areas,1
216.58.217.99-10.42.0.211-443-34123-6,40.1077086,-75.2136339,MILL RD & BETHLEHEM PIKE; WHITEMARSH; 2022-12-12 @ 19:31:38-Station:STA29;,19031,12-12-22 19:31,WHITEMARSH,MILL RD & BETHLEHEM PIKE,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.1-10.42.0.42-53-13184-17,40.0585694,-75.1269602,COVENTRY AVE & VALLEY RD;  CHELTENHAM; Station 358; 2022-12-12 @ 19:32:50;,19027,12-12-22 19:32,CHELTENHAM,COVENTRY AVE & VALLEY RD,Death,Medium,Vehicle with vehicle collision,Residential areas,1
